Accommodation & food services_Other_All ages,last_val,diff
100.0,100.3,-0.29910269192422445
96.2,100.0,-3.799999999999997
81.4,96.2,-15.38461538461538
70.4,81.4,-13.513513513513512
65.2,70.4,-7.386363636363639
64.6,65.2,-0.9202453987730193
67.1,64.6,3.8699690402476783
68.7,67.1,2.3845007451564957
69.6,68.7,1.3100436681222583
69.6,69.6,0.0
70.5,69.6,1.2931034482758703
71.5,70.5,1.4184397163120568
74.4,71.5,4.055944055944064
76.3,74.4,2.5537634408602035
77.9,76.3,2.0969855832241264
78.5,77.9,0.7702182284980671
79.8,78.5,1.6560509554140093
77.9,79.8,-2.3809523809523703
75.5,77.9,-3.080872913992305
72.6,75.5,-3.8410596026490142
71.4,72.6,-1.6528925619834556
65.7,71.4,-7.983193277310928
63.9,65.7,-2.739726027397267
63.9,63.9,0.0
63.9,63.9,0.0
63.9,63.9,0.0
