Day of Date,Cases
"October 7, 2020",11
"October 6, 2020",5
"October 5, 2020",15
"October 4, 2020",8
"October 3, 2020",10
"October 2, 2020",9
"October 1, 2020",5
"September 30, 2020",14
"September 29, 2020",10
"September 28, 2020",9
"September 27, 2020",5
"September 26, 2020",16
"September 25, 2020",12
"September 24, 2020",13
"September 23, 2020",11
"September 22, 2020",14
"September 21, 2020",28
"September 20, 2020",11
"September 19, 2020",13
"September 18, 2020",20
"September 17, 2020",45
"September 16, 2020",25
"September 15, 2020",41
"September 14, 2020",39
"September 13, 2020",30
"September 12, 2020",41
"September 11, 2020",35
"September 10, 2020",40
"September 9, 2020",47
"September 8, 2020",70
"September 7, 2020",48
"September 6, 2020",38
"September 5, 2020",62
"September 4, 2020",71
"September 3, 2020",75
"September 2, 2020",110
"September 1, 2020",87
"August 31, 2020",63
"August 30, 2020",71
"August 29, 2020",108
"August 28, 2020",90
"August 27, 2020",111
"August 26, 2020",110
"August 25, 2020",142
"August 24, 2020",146
"August 23, 2020",109
"August 22, 2020",202
"August 21, 2020",173
"August 20, 2020",170
"August 19, 2020",231
"August 18, 2020",208
"August 17, 2020",218
"August 16, 2020",267
"August 15, 2020",266
"August 14, 2020",301
"August 13, 2020",361
"August 12, 2020",256
"August 11, 2020",401
"August 10, 2020",321
"August 9, 2020",310
"August 8, 2020",374
"August 7, 2020",455
"August 6, 2020",421
"August 5, 2020",444
"August 4, 2020",687
"August 3, 2020",404
"August 2, 2020",352
"August 1, 2020",598
"July 31, 2020",369
"July 30, 2020",549
"July 29, 2020",626
"July 28, 2020",274
"July 27, 2020",358
"July 26, 2020",493
"July 25, 2020",410
"July 24, 2020",333
"July 23, 2020",287
"July 22, 2020",374
"July 21, 2020",436
"July 20, 2020",341
"July 19, 2020",262
"July 18, 2020",337
"July 17, 2020",212
"July 16, 2020",378
"July 15, 2020",295
"July 14, 2020",219
"July 13, 2020",248
"July 12, 2020",167
"July 11, 2020",256
"July 10, 2020",290
"July 9, 2020",143
"July 8, 2020",149
"July 7, 2020",122
"July 6, 2020",168
"July 5, 2020",98
"July 4, 2020",68
"July 3, 2020",100
"July 2, 2020",62
"July 1, 2020",73
"June 30, 2020",76
"June 29, 2020",61
"June 28, 2020",69
"June 27, 2020",47
"June 26, 2020",40
"June 25, 2020",28
"June 24, 2020",33
"June 23, 2020",18
"June 22, 2020",17
"June 21, 2020",13
"June 20, 2020",17
"June 19, 2020",25
"June 18, 2020",12
"June 17, 2020",18
"June 16, 2020",20
"June 15, 2020",9
"June 14, 2020",12
"June 13, 2020",10
"June 12, 2020",8
"June 11, 2020",5
"June 10, 2020",7
"June 9, 2020",4
"June 8, 2020",
"June 7, 2020",2
"June 6, 2020",4
"June 5, 2020",1
"June 4, 2020",3
"June 3, 2020",8
"June 2, 2020",7
"June 1, 2020",9
"May 31, 2020",4
"May 30, 2020",8
"May 29, 2020",8
"May 28, 2020",6
"May 27, 2020",10
"May 26, 2020",8
"May 25, 2020",5
"May 24, 2020",2
"May 23, 2020",2
"May 22, 2020",9
"May 21, 2020",10
"May 20, 2020",5
"May 19, 2020",5
"May 18, 2020",7
"May 17, 2020",6
"May 16, 2020",5
"May 15, 2020",13
"May 14, 2020",19
"May 13, 2020",9
"May 12, 2020",7
"May 11, 2020",16
"May 10, 2020",5
"May 9, 2020",8
"May 8, 2020",12
"May 7, 2020",13
"May 6, 2020",15
"May 5, 2020",16
"May 4, 2020",14
"May 3, 2020",21
"May 2, 2020",11
"May 1, 2020",10
"April 30, 2020",5
"April 29, 2020",7
"April 28, 2020",3
"April 27, 2020",3
"April 26, 2020",1
"April 25, 2020",3
"April 24, 2020",3
"April 23, 2020",5
"April 22, 2020",1
"April 21, 2020",1
"April 20, 2020",5
"April 19, 2020",1
"April 18, 2020",13
"April 17, 2020",14
"April 16, 2020",7
"April 15, 2020",5
"April 14, 2020",4
"April 13, 2020",9
"April 12, 2020",8
"April 11, 2020",6
"April 10, 2020",24
"April 9, 2020",12
"April 8, 2020",13
"April 7, 2020",24
"April 6, 2020",33
"April 5, 2020",26
"April 4, 2020",29
"April 3, 2020",22
"April 2, 2020",59
"April 1, 2020",63
"March 31, 2020",58
"March 30, 2020",88
"March 29, 2020",54
"March 28, 2020",78
"March 27, 2020",106
"March 26, 2020",54
"March 25, 2020",58
"March 24, 2020",64
"March 23, 2020",56
"March 22, 2020",73
"March 21, 2020",46
"March 20, 2020",43
"March 19, 2020",33
"March 18, 2020",30
"March 17, 2020",37
"March 16, 2020",17
"March 15, 2020",7
"March 14, 2020",5
"March 13, 2020",15
"March 12, 2020",10
"March 11, 2020",5
"March 10, 2020",2
"March 9, 2020",3
"March 8, 2020",2
"March 7, 2020",1
"March 6, 2020",1
"March 5, 2020",
"March 4, 2020",1
"March 3, 2020",
"March 2, 2020",
"March 1, 2020",2
"February 28, 2020",
"February 27, 2020",
"February 26, 2020",
"February 25, 2020",1
"February 24, 2020",
"February 23, 2020",
"February 22, 2020",2
"February 18, 2020",
"February 17, 2020",
"February 16, 2020",
"February 15, 2020",
"February 14, 2020",
"February 13, 2020",
"February 12, 2020",
"February 11, 2020",
"February 10, 2020",
"February 9, 2020",
"February 8, 2020",
"February 7, 2020",
"February 6, 2020",
"February 5, 2020",
"February 4, 2020",
"February 3, 2020",
"February 2, 2020",
"February 1, 2020",
"January 31, 2020",1
"January 30, 2020",1
"January 29, 2020",
"January 28, 2020",1
"January 27, 2020",
"January 26, 2020",
"January 25, 2020",1
